customer_id,customer_fname,customer_lname,customer_email,customer_pwd,customer_street,customer_city,customer_state,zip_code,number_of_orders,voice_mail_active
59,Douglas,James,XXXXXXXXX,XXXXXXXXX,2306 Green Lane,Sunnyvale,CA,94086,0,no
60,Mary,Gutierrez,XXXXXXXXX,XXXXXXXXX,8632 Bright Route,Webster,NY,14580,0,no
61,Margaret,Summers,XXXXXXXXX,XXXXXXXXX,8963 Hidden Panda Meadow,Caguas,PR,725,0,no
62,Mary,Oneal,XXXXXXXXX,XXXXXXXXX,2659 Jagged Rabbit View,Brooklyn,NY,11223,34,yes
63,Aaron,Smith,XXXXXXXXX,XXXXXXXXX,2265 Foggy Lagoon Bend,Caguas,PR,725,33,yes
64,Mary,Reynolds,XXXXXXXXX,XXXXXXXXX,2407 Gentle Woods,Chicago,IL,60647,28,yes
65,Jennifer,Smith,XXXXXXXXX,XXXXXXXXX,7126 Shady Bluff Promenade,Princeton,NJ,8540,0,no
66,Mary,Booth,XXXXXXXXX,XXXXXXXXX,8824 Noble View Valley,Caguas,PR,725,41,yes
67,Samantha,Smith,XXXXXXXXX,XXXXXXXXX,7869 Wishing Anchor Court,Chicago,IL,60619,0,no
68,Mary,Oneal,XXXXXXXXX,XXXXXXXXX,376 Silver Terrace,Peoria,AZ,85345,0,no
69,Megan,Smith,XXXXXXXXX,XXXXXXXXX,7796 Thunder Forest Villas,Caguas,PR,725,0,no
70,Mary,Simmons,XXXXXXXXX,XXXXXXXXX,5553 Cinder Harbour,Los Angeles,CA,90042,0,no
71,Charles,Smith,XXXXXXXXX,XXXXXXXXX,6140 Pleasant Dale Farm,Philadelphia,PA,19145,0,no
72,Frank,Gillespie,XXXXXXXXX,XXXXXXXXX,5332 Heather Hills Isle,Vista,CA,92084,46,yes
73,Mary,Smith,XXXXXXXXX,XXXXXXXXX,8247 Little Cider Close,Caguas,PR,725,0,no
74,Alice,Rush,XXXXXXXXX,XXXXXXXXX,409 Iron Park,Jacksonville,NC,28540,0,no
75,Mary,Smith,XXXXXXXXX,XXXXXXXXX,1510 Broad Rise Expressway,Caguas,PR,725,0,no
76,Joseph,Young,XXXXXXXXX,XXXXXXXXX,7605 Tawny Horse Falls,Los Angeles,CA,90016,0,no
77,Shirley,Dalton,XXXXXXXXX,XXXXXXXXX,1021 Silver Log Cape,Caguas,PR,725,0,no
78,Jeremy,Smith,XXXXXXXXX,XXXXXXXXX,2714 Dewy Bay,Parkville,MD,21234,0,no
79,Mary,Watkins,XXXXXXXXX,XXXXXXXXX,1315 Honey Rabbit Link,Knoxville,TN,37922,0,no
80,Joe,Parsons,XXXXXXXXX,XXXXXXXXX,3891 Broad Line,Caguas,PR,725,0,no
81,Mary,Smith,XXXXXXXXX,XXXXXXXXX,8434 Honey Pines,Ithaca,NY,14850,0,no
82,Jonathan,Cook,XXXXXXXXX,XXXXXXXXX,7885 Sleepy Cove,San Antonio,TX,78240,0,no
83,Mary,Wong,XXXXXXXXX,XXXXXXXXX,8584 Lazy Via,Caguas,PR,725,25,yes
84,Douglas,Smith,XXXXXXXXX,XXXXXXXXX,6540 Emerald Turnabout,Tampa,FL,33624,24,yes
85,Mary,Perez,XXXXXXXXX,XXXXXXXXX,5104 Iron Log Limits,Caguas,PR,725,0,no
86,John,Smith,XXXXXXXXX,XXXXXXXXX,8780 Colonial Orchard,Fort Worth,TX,76106,29,yes
87,Gloria,Brown,XXXXXXXXX,XXXXXXXXX,3996 Crystal Zephyr Swale,Caguas,PR,725,0,no
88,Mary,Henry,XXXXXXXXX,XXXXXXXXX,7262 Cotton Arbor,Atlanta,GA,30318,0,no
89,Sean,Smith,XXXXXXXXX,XXXXXXXXX,9126 Wishing Expressway,Escondido,CA,92027,35,yes
90,Mary,Hurley,XXXXXXXXX,XXXXXXXXX,6640 Sunny Via,Caguas,PR,725,0,no
91,Ashley,Smith,XXXXXXXXX,XXXXXXXXX,4515 Golden Manor,Spring,TX,77379,0,no
92,Alexander,Medina,XXXXXXXXX,XXXXXXXXX,2805 Dewy Impasse,Caguas,PR,725,0,no
93,Mary,Robbins,XXXXXXXXX,XXXXXXXXX,456 Colonial Glen,Annapolis,MD,21401,0,no
94,Mary,Smith,XXXXXXXXX,XXXXXXXXX,921 Broad Chase,Caguas,PR,725,0,no
95,Susan,Williams,XXXXXXXXX,XXXXXXXXX,3587 Thunder Rise,Hyattsville,MD,20783,0,no
96,Virginia,Smith,XXXXXXXXX,XXXXXXXXX,6080 Blue Close,Caguas,PR,725,0,no
97,Mary,Rhodes,XXXXXXXXX,XXXXXXXXX,1463 Silver Mountain Gate,Phoenix,AZ,85008,0,no
98,William,Smith,XXXXXXXXX,XXXXXXXXX,4592 Grand Timber Ramp,Caguas,PR,725,0,no
99,Betty,Munoz,XXXXXXXXX,XXXXXXXXX,9761 Green Jetty,Las Vegas,NV,89123,0,no
100,George,Barrett,XXXXXXXXX,XXXXXXXXX,4110 Silent Pointe,Caguas,PR,725,0,no
101,Mary,Briggs,XXXXXXXXX,XXXXXXXXX,8342 Crystal Drive,Dorchester Center,MA,2124,220,yes
102,Gregory,Smith,XXXXXXXXX,XXXXXXXXX,5393 Hidden Glade,Caguas,PR,725,0,no
103,Mary,Williams,XXXXXXXXX,XXXXXXXXX,4501 Cinder Dell,Broomfield,CO,80020,0,no
104,Debra,Wood,XXXXXXXXX,XXXXXXXXX,8263 Harvest Estates,Saint Paul,MN,55112,0,no
105,Mary,Smith,XXXXXXXXX,XXXXXXXXX,8696 Fallen Cloud Circle,Caguas,PR,725,0,no
106,Lauren,Freeman,XXXXXXXXX,XXXXXXXXX,2783 Foggy Mews,Napa,CA,94558,0,no
107,Mary,Weaver,XXXXXXXXX,XXXXXXXXX,1449 Amber Island,Caguas,PR,725,29,yes
108,Joshua,Smith,XXXXXXXXX,XXXXXXXXX,4587 Noble Zephyr Promenade,Bronx,NY,10462,21,yes
109,Mary,Thompson,XXXXXXXXX,XXXXXXXXX,8662 Clear Nectar Mall,Caguas,PR,725,32,yes
110,David,Miranda,XXXXXXXXX,XXXXXXXXX,1491 Little Robin Way,Beaverton,OR,97006,0,no
111,Frank,Smith,XXXXXXXXX,XXXXXXXXX,8736 Hazy River Manor,Caguas,PR,725,0,no
112,Mary,Daniels,XXXXXXXXX,XXXXXXXXX,9814 Blue Anchor Dell,Middletown,OH,45044,0,no
113,Patricia,Smith,XXXXXXXXX,XXXXXXXXX,2457 Blue Hills Heights,Caguas,PR,725,0,no
114,Alice,Warner,XXXXXXXXX,XXXXXXXXX,4566 Burning Deer Meadow,Bellflower,CA,90706,0,no
115,Mary,Smith,XXXXXXXXX,XXXXXXXXX,1613 Broad Beach,West Covina,CA,91790,0,no
116,John,Hill,XXXXXXXXX,XXXXXXXXX,3996 Honey Grove Place,Caguas,PR,725,42,yes
117,Mary,Smith,XXXXXXXXX,XXXXXXXXX,6063 Golden Point,La Crosse,WI,54601,0,no
118,Katherine,Olson,XXXXXXXXX,XXXXXXXXX,9530 Little Fox Towers,Ogden,UT,84404,0,no
119,Mary,Rosario,XXXXXXXXX,XXXXXXXXX,5488 Thunder Fox Extension,Caguas,PR,725,36,yes
120,Nancy,Smith,XXXXXXXXX,XXXXXXXXX,7840 Umber Sky Villas,Bronx,NY,10461,0,no
121,Mary,Yoder,XXXXXXXXX,XXXXXXXXX,3570 Crystal Cider Circuit,Caguas,PR,725,0,no
122,Karen,Smith,XXXXXXXXX,XXXXXXXXX,7573 Cozy Goose Road,Cincinnati,OH,45238,22,yes
123,Mary,Mann,XXXXXXXXX,XXXXXXXXX,7676 Colonial Towers,Bend,OR,97701,0,no
124,Judy,Smith,XXXXXXXXX,XXXXXXXXX,911 Sleepy Cloud Carrefour,Caguas,PR,725,0,no
125,Mary,Gallagher,XXXXXXXXX,XXXXXXXXX,9831 Sunny Cloud Valley,Oxnard,CA,93030,0,no
126,Austin,Smith,XXXXXXXXX,XXXXXXXXX,852 Hazy Gate Circuit,Amarillo,TX,79109,0,no
127,Mary,Martin,XXXXXXXXX,XXXXXXXXX,437 Cozy Log Range,Caguas,PR,725,0,no
128,Rose,Lopez,XXXXXXXXX,XXXXXXXXX,9557 Harvest Mews,Augusta,GA,30906,27,yes
129,Crystal,Smith,XXXXXXXXX,XXXXXXXXX,3688 Thunder Prairie Heights,Caguas,PR,725,0,no
130,Mary,Holland,XXXXXXXXX,XXXXXXXXX,9897 Sunny Via,Aurora,IL,60504,36,yes
131,Brenda,Cline,XXXXXXXXX,XXXXXXXXX,8632 Bright Route,Methuen,MA,1844,0,no
132,Eric,Smith,XXXXXXXXX,XXXXXXXXX,1131 Cotton Grounds,Caguas,PR,725,0,no
133,Mary,Lopez,XXXXXXXXX,XXXXXXXXX,948 Thunder Gate Beach,Brooklyn,NY,11219,0,no
134,Donna,Gomez,XXXXXXXXX,XXXXXXXXX,1690 Cinder Deer Chase,Brooklyn,NY,11224,0,no
135,Mary,Smith,XXXXXXXXX,XXXXXXXXX,9624 Hidden Villas,Caguas,PR,725,0,no
136,Ryan,Griffin,XXXXXXXXX,XXXXXXXXX,7897 Stony Thicket,Lynn,MA,1902,0,no
137,Jonathan,Perkins,XXXXXXXXX,XXXXXXXXX,182 Bright Embers Cove,Broken Arrow,OK,74012,21,yes
138,Mary,Dawson,XXXXXXXXX,XXXXXXXXX,9544 Noble Spring Route,Caguas,PR,725,0,no
139,Daniel,Maxwell,XXXXXXXXX,XXXXXXXXX,9468 Red Corner,San Diego,CA,92104,36,yes
140,Amanda,Smith,XXXXXXXXX,XXXXXXXXX,5712 Heather Rise,Caguas,PR,725,23,yes
141,Mary,Mcmahon,XXXXXXXXX,XXXXXXXXX,1526 Broad Mountain Plaza,Brooklyn,NY,11203,0,no
142,Heather,Smith,XXXXXXXXX,XXXXXXXXX,814 Jagged Cape,Opa Locka,FL,33055,39,yes
143,Mary,Byrd,XXXXXXXXX,XXXXXXXXX,7793 Round Oak Key,Caguas,PR,725,28,yes
144,David,Smith,XXXXXXXXX,XXXXXXXXX,8289 Stony Thicket,Bronx,NY,10462,0,no
145,Joan,Walters,XXXXXXXXX,XXXXXXXXX,8314 Burning Circuit,Dayton,OH,45424,0,no
146,Amber,Mercado,XXXXXXXXX,XXXXXXXXX,14 Dusty Lake Beach,Caguas,PR,725,0,no
147,Mary,Smith,XXXXXXXXX,XXXXXXXXX,443 Jagged Lane,Hanover,PA,17331,0,no
148,Stephanie,Richards,XXXXXXXXX,XXXXXXXXX,245 Lost Way,Caguas,PR,725,0,no
149,Shirley,Mcclain,XXXXXXXXX,XXXXXXXXX,9729 Emerald Pony Mount,Colton,CA,92324,0,no
150,Mary,Smith,XXXXXXXXX,XXXXXXXXX,5593 Indian Trail,Union,NJ,7083,43,yes
151,Lisa,Shaw,XXXXXXXXX,XXXXXXXXX,9772 Noble Prairie Quay,Richmond,TX,77469,0,no
152,Mary,Smith,XXXXXXXXX,XXXXXXXXX,8333 Red Passage,Caguas,PR,725,0,no
153,Andrew,Marshall,XXXXXXXXX,XXXXXXXXX,8428 Blue Prairie Farm,Hollywood,FL,33021,0,no
154,Emily,May,XXXXXXXXX,XXXXXXXXX,6697 Thunder Dale Downs,Brandon,FL,33511,0,no
155,Brittany,Juarez,XXXXXXXXX,XXXXXXXXX,1809 Lost Pine Ledge,Caguas,PR,725,0,no
156,Mary,Smith,XXXXXXXXX,XXXXXXXXX,2291 Thunder Leaf Corners,Los Angeles,CA,90001,0,no
157,Catherine,Chan,XXXXXXXXX,XXXXXXXXX,7125 Silent Expressway,Citrus Heights,CA,95610,0,no
158,Mary,Smith,XXXXXXXXX,XXXXXXXXX,5517 Jagged Hollow,Caguas,PR,725,23,yes
159,John,Love,XXXXXXXXX,XXXXXXXXX,5002 High Bank,Corona,NY,11368,0,no
160,Ashley,Smith,XXXXXXXXX,XXXXXXXXX,3271 Amber Downs,Brooklyn,NY,11229,24,yes
161,Mary,Smith,XXXXXXXXX,XXXXXXXXX,6889 Pleasant Mount,Hialeah,FL,33010,0,no
162,John,Garcia,XXXXXXXXX,XXXXXXXXX,5452 Jagged Green,Caguas,PR,725,0,no
163,Austin,Diaz,XXXXXXXXX,XXXXXXXXX,6843 Dusty Log Edge,Rio Rancho,NM,87124,36,yes
164,Mary,Carlson,XXXXXXXXX,XXXXXXXXX,4527 Silent Fawn Wharf,Caguas,PR,725,0,no
165,Joseph,Ewing,XXXXXXXXX,XXXXXXXXX,7129 Fallen Trace,Antioch,CA,94509,0,no
166,Steven,Smith,XXXXXXXXX,XXXXXXXXX,2805 Indian Passage,Florissant,MO,63031,33,yes
167,Stephanie,Rodriguez,XXXXXXXXX,XXXXXXXXX,923 Little Bend,Columbus,OH,43228,31,yes
168,Eric,Morris,XXXXXXXXX,XXXXXXXXX,295 Quaking Timber By-pass,Caguas,PR,725,0,no
169,Debra,Mccarthy,XXXXXXXXX,XXXXXXXXX,3216 Rocky Centre,Bronx,NY,10466,38,yes
170,Mary,Smith,XXXXXXXXX,XXXXXXXXX,1996 Easy Parade,Broomfield,CO,80020,0,no
171,Evelyn,Potter,XXXXXXXXX,XXXXXXXXX,1661 Gentle Rabbit Turnabout,Caguas,PR,725,0,no
172,Lauren,Rush,XXXXXXXXX,XXXXXXXXX,6229 Indian Robin Parade,Chino,CA,91710,27,yes
173,Jose,Smith,XXXXXXXXX,XXXXXXXXX,3493 High Apple Walk,Lombard,IL,60148,0,no
174,Mary,Perez,XXXXXXXXX,XXXXXXXXX,6332 Round Range,Caguas,PR,725,0,no
175,Ronald,Guzman,XXXXXXXXX,XXXXXXXXX,8284 Pleasant Pine Villas,Los Angeles,CA,90042,0,no
176,Amy,Smith,XXXXXXXXX,XXXXXXXXX,151 Red Deer Landing,Dundalk,MD,21222,0,no
177,Mary,Melendez,XXXXXXXXX,XXXXXXXXX,7027 Sleepy Farm,Caguas,PR,725,0,no
178,Keith,Smith,XXXXXXXXX,XXXXXXXXX,7581 Round Island,Waukegan,IL,60085,0,no
179,Mary,Rodgers,XXXXXXXXX,XXXXXXXXX,8916 Round Zephyr Ridge,Los Angeles,CA,90033,0,no
180,Juan,Smith,XXXXXXXXX,XXXXXXXXX,2017 Fallen Sky Row,Caguas,PR,725,0,no
181,Mary,Jones,XXXXXXXXX,XXXXXXXXX,1723 Tawny Via,Irwin,PA,15642,23,yes
182,James,Ortiz,XXXXXXXXX,XXXXXXXXX,7446 Rocky Inlet,Caguas,PR,725,0,no
183,Wayne,Smith,XXXXXXXXX,XXXXXXXXX,4197 Lazy Diversion,Hayward,CA,94541,36,yes
184,Mary,Boyd,XXXXXXXXX,XXXXXXXXX,3594 Thunder Zephyr Bank,Lindenhurst,NY,11757,0,no
185,Deborah,Smith,XXXXXXXXX,XXXXXXXXX,9295 Emerald Downs,Louisville,KY,40214,0,no
186,Diane,Jones,XXXXXXXXX,XXXXXXXXX,7580 Cozy Inlet,Caguas,PR,725,0,no
187,Mildred,Herrera,XXXXXXXXX,XXXXXXXXX,8771 Middle Quail Heath,Antioch,CA,94509,0,no
188,Mary,Smith,XXXXXXXXX,XXXXXXXXX,771 Noble Parkway,Los Angeles,CA,90019,0,no
189,Angela,Peterson,XXXXXXXXX,XXXXXXXXX,4435 Harvest Apple Port,San Marcos,TX,78666,0,no
190,Mary,Hayes,XXXXXXXXX,XXXXXXXXX,3819 Easy Knoll,Caguas,PR,725,0,no
191,Victoria,Smith,XXXXXXXXX,XXXXXXXXX,8311 Round Lookout,Portland,OR,97206,0,no
192,Mary,Hall,XXXXXXXXX,XXXXXXXXX,3342 Bright Robin Stead,Caguas,PR,725,0,no
193,Melissa,Flores,XXXXXXXXX,XXXXXXXXX,1494 Indian Range,Gaithersburg,MD,20878,0,no
194,Mary,Bates,XXXXXXXXX,XXXXXXXXX,1185 Rustic River Thicket,Caguas,PR,725,0,no
195,Richard,Smith,XXXXXXXXX,XXXXXXXXX,9363 Dusty Butterfly Extension,Modesto,CA,95350,23,yes
196,Thomas,Watson,XXXXXXXXX,XXXXXXXXX,4179 Merry Wood,Dearborn,MI,48126,23,yes
197,Ruth,Smith,XXXXXXXXX,XXXXXXXXX,2311 Green Zephyr Rise,Caguas,PR,725,0,no
198,Mary,Joseph,XXXXXXXXX,XXXXXXXXX,5078 Green Street,Lancaster,PA,17601,0,no
199,Cynthia,Horn,XXXXXXXXX,XXXXXXXXX,9092 Middle Deer Dale,Caguas,PR,725,26,yes
200,Keith,Smith,XXXXXXXXX,XXXXXXXXX,9315 Shady Grove Row,Lynn,MA,1902,0,no
201,Mary,Grimes,XXXXXXXXX,XXXXXXXXX,1822 Rustic Lane,Jacksonville,FL,32244,24,yes
202,Sharon,Smith,XXXXXXXXX,XXXXXXXXX,586 Gentle Anchor Chase,Caguas,PR,725,0,no
203,Madison,Blankenship,XXXXXXXXX,XXXXXXXXX,5486 Jagged Lake Avenue,Phoenix,AZ,85033,0,no
204,Mary,Smith,XXXXXXXXX,XXXXXXXXX,6501 Blue Green,Las Vegas,NV,89123,0,no
205,Ryan,Garcia,XXXXXXXXX,XXXXXXXXX,911 Lost Zephyr Vista,Caguas,PR,725,0,no
206,Mary,West,XXXXXXXXX,XXXXXXXXX,5274 Noble Isle,Pompano Beach,FL,33068,36,yes
207,Jose,Powers,XXXXXXXXX,XXXXXXXXX,3937 Sunny Common,Caguas,PR,725,0,no
208,Mary,Smith,XXXXXXXXX,XXXXXXXXX,3856 Noble Zephyr By-pass,Bayamon,PR,957,0,no
209,Thomas,Moore,XXXXXXXXX,XXXXXXXXX,2857 Cozy Mews,Fort Worth,TX,76133,0,no
210,Jonathan,Burns,XXXXXXXXX,XXXXXXXXX,432 Rocky Link,Caguas,PR,725,0,no
211,Mary,Smith,XXXXXXXXX,XXXXXXXXX,4778 Misty Bear Port,Lawrenceville,GA,30043,0,no
212,Roger,Johnson,XXXXXXXXX,XXXXXXXXX,5723 Stony Valley,South Ozone Park,NY,11420,0,no
213,Mary,Mclaughlin,XXXXXXXXX,XXXXXXXXX,3881 Golden Corners,Enfield,CT,6082,24,yes
214,Lauren,Booth,XXXXXXXXX,XXXXXXXXX,3178 Golden Villas,Caguas,PR,725,31,yes
215,Mary,Smith,XXXXXXXXX,XXXXXXXXX,5364 Heather Quail Court,Flushing,NY,11354,0,no
216,Martha,Davis,XXXXXXXXX,XXXXXXXXX,7469 Misty Log Estates,Visalia,CA,93277,0,no
217,Mary,Hughes,XXXXXXXXX,XXXXXXXXX,1490 Silver Canyon,Caguas,PR,725,0,no
218,Charles,Tyler,XXXXXXXXX,XXXXXXXXX,4845 Thunder Embers Hollow,La Puente,CA,91744,0,no
219,Mary,Harrell,XXXXXXXXX,XXXXXXXXX,9016 Foggy Robin Expressway,Denver,CO,80219,0,no
220,Janet,Smith,XXXXXXXXX,XXXXXXXXX,4629 Dusty Pony Highway,Salinas,CA,93906,0,no
221,Mary,Cox,XXXXXXXXX,XXXXXXXXX,7463 Clear Branch Thicket,Columbus,OH,43230,0,no
222,Frank,Ruiz,XXXXXXXXX,XXXXXXXXX,9871 Cozy Pioneer Mountain,Carol Stream,IL,60188,22,yes
223,Ralph,Smith,XXXXXXXXX,XXXXXXXXX,7302 Cotton Freeway,Caguas,PR,725,0,no
224,Mary,Hernandez,XXXXXXXXX,XXXXXXXXX,8777 Silent View,Wheeling,WV,26003,0,no
225,Megan,Watson,XXXXXXXXX,XXXXXXXXX,732 Honey Harbour,Caguas,PR,725,0,no
226,Rose,Sanders,XXXXXXXXX,XXXXXXXXX,4583 Heather Blossom Diversion,Oxnard,CA,93030,0,no
227,Mary,Smith,XXXXXXXXX,XXXXXXXXX,6120 Cozy Ledge,Tempe,AZ,85283,0,no
228,Jessica,Clark,XXXXXXXXX,XXXXXXXXX,521 Fallen Lagoon Glade,Caguas,PR,725,27,yes
229,Mary,Garrett,XXXXXXXXX,XXXXXXXXX,4312 Bright Corner,Jacksonville,FL,32225,23,yes
230,Kimberly,Smith,XXXXXXXXX,XXXXXXXXX,5835 Harvest Vista,Caguas,PR,725,22,yes
231,Mary,Conner,XXXXXXXXX,XXXXXXXXX,2737 Jagged Byway,Wyoming,MI,49509,0,no
232,Gloria,Bean,XXXXXXXXX,XXXXXXXXX,4197 Colonial Prairie Mews,Caguas,PR,725,36,yes
233,Hannah,Smith,XXXXXXXXX,XXXXXXXXX,636 Middle Mountain Farms,Glendale,AZ,85301,0,no
234,Mary,Giles,XXXXXXXXX,XXXXXXXXX,3729 Cinder Grove Concession,Miami,FL,33157,0,no
235,David,Smith,XXXXXXXXX,XXXXXXXXX,75 Sunny Grounds,Piscataway,NJ,8854,0,no
236,Ashley,Clark,XXXXXXXXX,XXXXXXXXX,7017 Clear Bay,Caguas,PR,725,0,no
237,Mary,Smith,XXXXXXXXX,XXXXXXXXX,3282 Indian Hollow,San Jose,CA,95148,40,yes
238,Charles,Turner,XXXXXXXXX,XXXXXXXXX,7760 Golden Limits,Caguas,PR,725,0,no
